identifier,tag_name,service,type,region,tags,arn
subnet-02be3be301308809e,(not tagged),EC2,Subnet,ap-southeast-1,0,arn:aws:ec2:ap-southeast-1:679835924621:subnet/subnet-02be3be301308809e
subnet-0f211a4e9f91be402,(not tagged),EC2,Subnet,ap-southeast-1,0,arn:aws:ec2:ap-southeast-1:679835924621:subnet/subnet-0f211a4e9f91be402
subnet-0f173ac066a65a10d,(not tagged),EC2,Subnet,ap-southeast-1,0,arn:aws:ec2:ap-southeast-1:679835924621:subnet/subnet-0f173ac066a65a10d
vpc-04e27ca893bd2c763,(not tagged),EC2,VPC,ap-southeast-1,0,arn:aws:ec2:ap-southeast-1:679835924621:vpc/vpc-04e27ca893bd2c763
1c6308f4-f504-405a-be72-d777d975786f,(not tagged),KMS,Key,us-east-2,0,arn:aws:kms:us-east-2:679835924621:key/1c6308f4-f504-405a-be72-d777d975786f
ec2-dynamodb-people-role,(not tagged),IAM,InstanceProfile,us-east-1,0,arn:aws:iam::679835924621:instance-profile/ec2-dynamodb-people-role
inv-api,(not tagged),Lambda,Function,us-east-2,0,arn:aws:lambda:us-east-2:679835924621:function:inv-api
service-role/AWSLambdaVPCAccessExecutionRole-07eae952-ec19-40f5-b8a8-7c2d1fdacd89,(not tagged),IAM,ManagedPolicy,us-east-1,0,arn:aws:iam::679835924621:policy/service-role/AWSLambdaVPCAccessExecutionRole-07eae952-ec19-40f5-b8a8-7c2d1fdacd89
S3-Bucket-Upload,(not tagged),IAM,ManagedPolicy,us-east-1,0,arn:aws:iam::679835924621:policy/S3-Bucket-Upload
service-role/AWSLambdaBasicExecutionRole-05687fd4-3a38-4fde-b3de-64df8bd01c75,(not tagged),IAM,ManagedPolicy,us-east-1,0,arn:aws:iam::679835924621:policy/service-role/AWSLambdaBasicExecutionRole-05687fd4-3a38-4fde-b3de-64df8bd01c75
service-role/AWSLambdaVPCAccessExecutionRole-baa702d4-4321-440b-a03f-a3e1f0e92485,(not tagged),IAM,ManagedPolicy,us-east-1,0,arn:aws:iam::679835924621:policy/service-role/AWSLambdaVPCAccessExecutionRole-baa702d4-4321-440b-a03f-a3e1f0e92485
DDBCrud-Invento,(not tagged),IAM,ManagedPolicy,us-east-1,0,arn:aws:iam::679835924621:policy/DDBCrud-Invento
service-role/AWSLambdaBasicExecutionRole-5e853bf6-220d-46b6-9258-04264606b601,(not tagged),IAM,ManagedPolicy,us-east-1,0,arn:aws:iam::679835924621:policy/service-role/AWSLambdaBasicExecutionRole-5e853bf6-220d-46b6-9258-04264606b601
service-role/AWSLambdaVPCAccessExecutionRole-af9db625-8720-4896-8085-6e85ae0ddba3,(not tagged),IAM,ManagedPolicy,us-east-1,0,arn:aws:iam::679835924621:policy/service-role/AWSLambdaVPCAccessExecutionRole-af9db625-8720-4896-8085-6e85ae0ddba3
service-role/AWSLambdaBasicExecutionRole-d4d22e3f-f0bb-430b-8af2-95051a4474d4,(not tagged),IAM,ManagedPolicy,us-east-1,0,arn:aws:iam::679835924621:policy/service-role/AWSLambdaBasicExecutionRole-d4d22e3f-f0bb-430b-8af2-95051a4474d4
Authapp,(not tagged),IAM,VirtualMFADevice,us-east-1,0,arn:aws:iam::679835924621:mfa/Authapp
angular-app-invento,(not tagged),S3,Bucket,us-east-2,0,arn:aws:s3:::angular-app-invento
