identifier,tag_name,service,type,region,tags,arn
sg-020626857886a9d8e,(not tagged),EC2,SecurityGroup,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:security-group/sg-020626857886a9d8e
igw-07e978d3cc0349441,(not tagged),EC2,InternetGateway,ap-northeast-3,0,arn:aws:ec2:ap-northeast-3:679835924621:internet-gateway/igw-07e978d3cc0349441
dopt-09e468f0f25fc7679,(not tagged),EC2,DHCPOptions,eu-central-1,0,arn:aws:ec2:eu-central-1:679835924621:dhcp-options/dopt-09e468f0f25fc7679
acl-0eaa771f1b0258867,(not tagged),EC2,NetworkAcl,us-west-2,0,arn:aws:ec2:us-west-2:679835924621:network-acl/acl-0eaa771f1b0258867
rtb-06e43a6c9dd604ead,(not tagged),EC2,RouteTable,eu-west-3,0,arn:aws:ec2:eu-west-3:679835924621:route-table/rtb-06e43a6c9dd604ead
dopt-0e4ba557329e3142f,(not tagged),EC2,DHCPOptions,eu-north-1,0,arn:aws:ec2:eu-north-1:679835924621:dhcp-options/dopt-0e4ba557329e3142f
acl-05069248633d1652b,(not tagged),EC2,NetworkAcl,ap-northeast-3,0,arn:aws:ec2:ap-northeast-3:679835924621:network-acl/acl-05069248633d1652b
igw-073631a7a24c65389,(not tagged),EC2,InternetGateway,eu-west-1,0,arn:aws:ec2:eu-west-1:679835924621:internet-gateway/igw-073631a7a24c65389
sg-0354a80c7b30bc019,(not tagged),EC2,SecurityGroup,eu-west-3,0,arn:aws:ec2:eu-west-3:679835924621:security-group/sg-0354a80c7b30bc019
rtb-01560177f8a924b3f,(not tagged),EC2,RouteTable,us-west-1,0,arn:aws:ec2:us-west-1:679835924621:route-table/rtb-01560177f8a924b3f
subnet-036879261a061eb99,(not tagged),EC2,Subnet,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:subnet/subnet-036879261a061eb99
subnet-03da298c8edc9582f,(not tagged),EC2,Subnet,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:subnet/subnet-03da298c8edc9582f
subnet-09262fa4a439670f4,(not tagged),EC2,Subnet,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:subnet/subnet-09262fa4a439670f4
subnet-04f6f765ea190e645,(not tagged),EC2,Subnet,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:subnet/subnet-04f6f765ea190e645
subnet-05dd0130bce45be56,(not tagged),EC2,Subnet,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:subnet/subnet-05dd0130bce45be56
subnet-0a44be0752a0705a2,(not tagged),EC2,Subnet,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:subnet/subnet-0a44be0752a0705a2
rtb-0d06520d74f32a549,(not tagged),EC2,RouteTable,us-west-2,0,arn:aws:ec2:us-west-2:679835924621:route-table/rtb-0d06520d74f32a549
sg-04deab5c617028c75,(not tagged),EC2,SecurityGroup,us-west-1,0,arn:aws:ec2:us-west-1:679835924621:security-group/sg-04deab5c617028c75
vpc-003c09c7c3184f384,(not tagged),EC2,VPC,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:vpc/vpc-003c09c7c3184f384
acl-060f24951560a4eb5,(not tagged),EC2,NetworkAcl,eu-west-1,0,arn:aws:ec2:eu-west-1:679835924621:network-acl/acl-060f24951560a4eb5
igw-0c984aa991a99511b,(not tagged),EC2,InternetGateway,eu-central-1,0,arn:aws:ec2:eu-central-1:679835924621:internet-gateway/igw-0c984aa991a99511b
sg-0b0dc867c28584739,(not tagged),EC2,SecurityGroup,us-west-2,0,arn:aws:ec2:us-west-2:679835924621:security-group/sg-0b0dc867c28584739
rtb-0e275707a05ad2139,(not tagged),EC2,RouteTable,ap-northeast-3,0,arn:aws:ec2:ap-northeast-3:679835924621:route-table/rtb-0e275707a05ad2139
subnet-0d346111c16bdfa26,(not tagged),EC2,Subnet,eu-west-3,0,arn:aws:ec2:eu-west-3:679835924621:subnet/subnet-0d346111c16bdfa26
subnet-023148caa9373ccaf,(not tagged),EC2,Subnet,eu-west-3,0,arn:aws:ec2:eu-west-3:679835924621:subnet/subnet-023148caa9373ccaf
subnet-0cf5166efd2578174,(not tagged),EC2,Subnet,eu-west-3,0,arn:aws:ec2:eu-west-3:679835924621:subnet/subnet-0cf5166efd2578174
igw-0acd39e268635992d,(not tagged),EC2,InternetGateway,eu-north-1,0,arn:aws:ec2:eu-north-1:679835924621:internet-gateway/igw-0acd39e268635992d
sg-04ffb7e9e082bb4ca,(not tagged),EC2,SecurityGroup,ap-northeast-3,0,arn:aws:ec2:ap-northeast-3:679835924621:security-group/sg-04ffb7e9e082bb4ca
acl-018722830780322cf,(not tagged),EC2,NetworkAcl,eu-central-1,0,arn:aws:ec2:eu-central-1:679835924621:network-acl/acl-018722830780322cf
vpc-0a3eb236b0f96e77a,(not tagged),EC2,VPC,eu-west-3,0,arn:aws:ec2:eu-west-3:679835924621:vpc/vpc-0a3eb236b0f96e77a
subnet-090a1ed9a40e30d1b,(not tagged),EC2,Subnet,us-west-1,0,arn:aws:ec2:us-west-1:679835924621:subnet/subnet-090a1ed9a40e30d1b
subnet-01ff9b8ee5464b352,(not tagged),EC2,Subnet,us-west-1,0,arn:aws:ec2:us-west-1:679835924621:subnet/subnet-01ff9b8ee5464b352
rtb-074a48f8ef8099dbd,(not tagged),EC2,RouteTable,eu-west-1,0,arn:aws:ec2:eu-west-1:679835924621:route-table/rtb-074a48f8ef8099dbd
acl-0295dbd4d8a519456,(not tagged),EC2,NetworkAcl,eu-north-1,0,arn:aws:ec2:eu-north-1:679835924621:network-acl/acl-0295dbd4d8a519456
subnet-0b6b1edbe38cb16ff,(not tagged),EC2,Subnet,us-west-2,0,arn:aws:ec2:us-west-2:679835924621:subnet/subnet-0b6b1edbe38cb16ff
subnet-012710746bcf05303,(not tagged),EC2,Subnet,us-west-2,0,arn:aws:ec2:us-west-2:679835924621:subnet/subnet-012710746bcf05303
subnet-06ce6f6d143487f17,(not tagged),EC2,Subnet,us-west-2,0,arn:aws:ec2:us-west-2:679835924621:subnet/subnet-06ce6f6d143487f17
subnet-0e3057336a12c54ce,(not tagged),EC2,Subnet,us-west-2,0,arn:aws:ec2:us-west-2:679835924621:subnet/subnet-0e3057336a12c54ce
vpc-0f6a12ed951facc3f,(not tagged),EC2,VPC,us-west-1,0,arn:aws:ec2:us-west-1:679835924621:vpc/vpc-0f6a12ed951facc3f
sg-0817e3fda6c84dbca,(not tagged),EC2,SecurityGroup,eu-west-1,0,arn:aws:ec2:eu-west-1:679835924621:security-group/sg-0817e3fda6c84dbca
dopt-0cc68b6b90cf54f5b,(not tagged),EC2,DHCPOptions,ap-south-1,0,arn:aws:ec2:ap-south-1:679835924621:dhcp-options/dopt-0cc68b6b90cf54f5b
vpc-0ce4b667ec32b0277,(not tagged),EC2,VPC,us-west-2,0,arn:aws:ec2:us-west-2:679835924621:vpc/vpc-0ce4b667ec32b0277
subnet-080efde8746c5e8af,(not tagged),EC2,Subnet,ap-northeast-3,0,arn:aws:ec2:ap-northeast-3:679835924621:subnet/subnet-080efde8746c5e8af
subnet-02f6d2b91dde4d681,(not tagged),EC2,Subnet,ap-northeast-3,0,arn:aws:ec2:ap-northeast-3:679835924621:subnet/subnet-02f6d2b91dde4d681
subnet-092d2e7966e76f647,(not tagged),EC2,Subnet,ap-northeast-3,0,arn:aws:ec2:ap-northeast-3:679835924621:subnet/subnet-092d2e7966e76f647
rtb-01e16306a23f85c18,(not tagged),EC2,RouteTable,eu-central-1,0,arn:aws:ec2:eu-central-1:679835924621:route-table/rtb-01e16306a23f85c18
dopt-091fbbaca7da68e82,(not tagged),EC2,DHCPOptions,ap-northeast-2,0,arn:aws:ec2:ap-northeast-2:679835924621:dhcp-options/dopt-091fbbaca7da68e82
dopt-0dbc070c99445f78c,(not tagged),EC2,DHCPOptions,sa-east-1,0,arn:aws:ec2:sa-east-1:679835924621:dhcp-options/dopt-0dbc070c99445f78c
vpc-00f044ce6203e7930,(not tagged),EC2,VPC,ap-northeast-3,0,arn:aws:ec2:ap-northeast-3:679835924621:vpc/vpc-00f044ce6203e7930
sg-09d20c87cf4c2db22,(not tagged),EC2,SecurityGroup,eu-central-1,0,arn:aws:ec2:eu-central-1:679835924621:security-group/sg-09d20c87cf4c2db22
dopt-02c794efc850d9080,(not tagged),EC2,DHCPOptions,ap-northeast-1,0,arn:aws:ec2:ap-northeast-1:679835924621:dhcp-options/dopt-02c794efc850d9080
rtb-03dfe77f5757b2084,(not tagged),EC2,RouteTable,eu-north-1,0,arn:aws:ec2:eu-north-1:679835924621:route-table/rtb-03dfe77f5757b2084
sg-0714db6662acf3987,(not tagged),EC2,SecurityGroup,eu-north-1,0,arn:aws:ec2:eu-north-1:679835924621:security-group/sg-0714db6662acf3987
igw-03ea3be4bd091c917,(not tagged),EC2,InternetGateway,ap-south-1,0,arn:aws:ec2:ap-south-1:679835924621:internet-gateway/igw-03ea3be4bd091c917
dopt-05d32a0e10ff3057f,(not tagged),EC2,DHCPOptions,ap-southeast-2,0,arn:aws:ec2:ap-southeast-2:679835924621:dhcp-options/dopt-05d32a0e10ff3057f
subnet-0345408ad42250dc2,(not tagged),EC2,Subnet,eu-central-1,0,arn:aws:ec2:eu-central-1:679835924621:subnet/subnet-0345408ad42250dc2
subnet-072c606ba73bdeeb9,(not tagged),EC2,Subnet,eu-central-1,0,arn:aws:ec2:eu-central-1:679835924621:subnet/subnet-072c606ba73bdeeb9
subnet-0e49d90c83470b840,(not tagged),EC2,Subnet,eu-central-1,0,arn:aws:ec2:eu-central-1:679835924621:subnet/subnet-0e49d90c83470b840
igw-0ededda9319d0b791,(not tagged),EC2,InternetGateway,ap-northeast-2,0,arn:aws:ec2:ap-northeast-2:679835924621:internet-gateway/igw-0ededda9319d0b791
igw-01dc5755db3fbbb75,(not tagged),EC2,InternetGateway,sa-east-1,0,arn:aws:ec2:sa-east-1:679835924621:internet-gateway/igw-01dc5755db3fbbb75
vpc-0fd8e34fb86d55ced,(not tagged),EC2,VPC,eu-central-1,0,arn:aws:ec2:eu-central-1:679835924621:vpc/vpc-0fd8e34fb86d55ced
acl-06a8666a394a385ed,(not tagged),EC2,NetworkAcl,ap-south-1,0,arn:aws:ec2:ap-south-1:679835924621:network-acl/acl-06a8666a394a385ed
igw-09a0fec3a5904166c,(not tagged),EC2,InternetGateway,ap-northeast-1,0,arn:aws:ec2:ap-northeast-1:679835924621:internet-gateway/igw-09a0fec3a5904166c
subnet-052a0f222dbf81b2a,(not tagged),EC2,Subnet,eu-north-1,0,arn:aws:ec2:eu-north-1:679835924621:subnet/subnet-052a0f222dbf81b2a
subnet-021f9a4920e8b633e,(not tagged),EC2,Subnet,eu-north-1,0,arn:aws:ec2:eu-north-1:679835924621:subnet/subnet-021f9a4920e8b633e
subnet-0989173c33f230024,(not tagged),EC2,Subnet,eu-north-1,0,arn:aws:ec2:eu-north-1:679835924621:subnet/subnet-0989173c33f230024
acl-00e8a7cfd7a51d364,(not tagged),EC2,NetworkAcl,ap-northeast-2,0,arn:aws:ec2:ap-northeast-2:679835924621:network-acl/acl-00e8a7cfd7a51d364
vpc-04124b1f712601eee,(not tagged),EC2,VPC,eu-north-1,0,arn:aws:ec2:eu-north-1:679835924621:vpc/vpc-04124b1f712601eee
acl-0dcd57843f3a27f09,(not tagged),EC2,NetworkAcl,sa-east-1,0,arn:aws:ec2:sa-east-1:679835924621:network-acl/acl-0dcd57843f3a27f09
acl-04d1e65883b30cb0a,(not tagged),EC2,NetworkAcl,ap-northeast-1,0,arn:aws:ec2:ap-northeast-1:679835924621:network-acl/acl-04d1e65883b30cb0a
igw-0f44dded733738e55,(not tagged),EC2,InternetGateway,ap-southeast-2,0,arn:aws:ec2:ap-southeast-2:679835924621:internet-gateway/igw-0f44dded733738e55
subnet-03966770971094bce,(not tagged),EC2,Subnet,eu-west-1,0,arn:aws:ec2:eu-west-1:679835924621:subnet/subnet-03966770971094bce
subnet-0db0b68f1aa1cfd10,(not tagged),EC2,Subnet,eu-west-1,0,arn:aws:ec2:eu-west-1:679835924621:subnet/subnet-0db0b68f1aa1cfd10
subnet-01acc5bf3360c3ba4,(not tagged),EC2,Subnet,eu-west-1,0,arn:aws:ec2:eu-west-1:679835924621:subnet/subnet-01acc5bf3360c3ba4
rtb-0e22b5c118c64438d,(not tagged),EC2,RouteTable,ap-south-1,0,arn:aws:ec2:ap-south-1:679835924621:route-table/rtb-0e22b5c118c64438d
vpc-03ed037ba3d8d7c5a,(not tagged),EC2,VPC,eu-west-1,0,arn:aws:ec2:eu-west-1:679835924621:vpc/vpc-03ed037ba3d8d7c5a
sg-0e2e83ec190cd0070,(not tagged),EC2,SecurityGroup,ap-south-1,0,arn:aws:ec2:ap-south-1:679835924621:security-group/sg-0e2e83ec190cd0070
rtb-0a2f3ae1fbdb957e2,(not tagged),EC2,RouteTable,ap-northeast-2,0,arn:aws:ec2:ap-northeast-2:679835924621:route-table/rtb-0a2f3ae1fbdb957e2
acl-0f503662686699486,(not tagged),EC2,NetworkAcl,ap-southeast-2,0,arn:aws:ec2:ap-southeast-2:679835924621:network-acl/acl-0f503662686699486
rtb-09827cdd5eda8c64e,(not tagged),EC2,RouteTable,sa-east-1,0,arn:aws:ec2:sa-east-1:679835924621:route-table/rtb-09827cdd5eda8c64e
rtb-0169afbc6f7464a19,(not tagged),EC2,RouteTable,ap-northeast-1,0,arn:aws:ec2:ap-northeast-1:679835924621:route-table/rtb-0169afbc6f7464a19
sg-00d168e939af72391,(not tagged),EC2,SecurityGroup,ap-northeast-2,0,arn:aws:ec2:ap-northeast-2:679835924621:security-group/sg-00d168e939af72391
sg-02bdc97b3c24d4236,(not tagged),EC2,SecurityGroup,sa-east-1,0,arn:aws:ec2:sa-east-1:679835924621:security-group/sg-02bdc97b3c24d4236
sg-0f2da3adfd7dada47,(not tagged),EC2,SecurityGroup,ap-northeast-1,0,arn:aws:ec2:ap-northeast-1:679835924621:security-group/sg-0f2da3adfd7dada47
subnet-01be11fd29b763481,(not tagged),EC2,Subnet,ap-south-1,0,arn:aws:ec2:ap-south-1:679835924621:subnet/subnet-01be11fd29b763481
subnet-07ecbb2f6690a4d12,(not tagged),EC2,Subnet,ap-south-1,0,arn:aws:ec2:ap-south-1:679835924621:subnet/subnet-07ecbb2f6690a4d12
subnet-0ec00aa92c1ae1128,(not tagged),EC2,Subnet,ap-south-1,0,arn:aws:ec2:ap-south-1:679835924621:subnet/subnet-0ec00aa92c1ae1128
rtb-0ba2bea2af409e20d,(not tagged),EC2,RouteTable,ap-southeast-2,0,arn:aws:ec2:ap-southeast-2:679835924621:route-table/rtb-0ba2bea2af409e20d
vpc-0f2cd1d31ea563345,(not tagged),EC2,VPC,ap-south-1,0,arn:aws:ec2:ap-south-1:679835924621:vpc/vpc-0f2cd1d31ea563345
subnet-0f1f787e1dfbaaf62,(not tagged),EC2,Subnet,ap-northeast-2,0,arn:aws:ec2:ap-northeast-2:679835924621:subnet/subnet-0f1f787e1dfbaaf62
subnet-011f30bb4a9094d2f,(not tagged),EC2,Subnet,ap-northeast-2,0,arn:aws:ec2:ap-northeast-2:679835924621:subnet/subnet-011f30bb4a9094d2f
subnet-0d949bb38d18cd7ae,(not tagged),EC2,Subnet,ap-northeast-2,0,arn:aws:ec2:ap-northeast-2:679835924621:subnet/subnet-0d949bb38d18cd7ae
subnet-0ad1507553f51b964,(not tagged),EC2,Subnet,ap-northeast-2,0,arn:aws:ec2:ap-northeast-2:679835924621:subnet/subnet-0ad1507553f51b964
sg-0cb9996a423116194,(not tagged),EC2,SecurityGroup,ap-southeast-2,0,arn:aws:ec2:ap-southeast-2:679835924621:security-group/sg-0cb9996a423116194
subnet-0d9e374b410bfdbbd,(not tagged),EC2,Subnet,sa-east-1,0,arn:aws:ec2:sa-east-1:679835924621:subnet/subnet-0d9e374b410bfdbbd
subnet-08eb048e51f253b8a,(not tagged),EC2,Subnet,sa-east-1,0,arn:aws:ec2:sa-east-1:679835924621:subnet/subnet-08eb048e51f253b8a
